name,mass,a,Radius,parent
Sun (10),1.9884754159566474e+30,0,696340000,NaN
Mercury (199),3.301109449002709e+23,57908882977.87707,2439700,Sun (10)
Venus (299),4.867466257521635e+24,108209165932.27078,6051800,Sun (10)
Earth (399),5.972365262433514e+24,149561712003.86707,6378140,Sun (10)
Mars (499),6.417120205436417e+23,227929004355.80997,3397200,Sun (10)
Jupiter (599),1.8981871943454438e+27,778211303895.6813,71492000,Sun (10)
Saturn (699),5.683361026390224e+26,1428062908393.2314,60268000,Sun (10)
Uranus (799),8.681273407389496e+25,2871191538732.6094,25559000,Sun (10)
Neptune (899),1.0241261669693524e+26,4499439953953.135,24746000,Sun (10)
Io (501),8.929943102540783e+22,422021876.3584841,,Jupiter (599)
Europa (502),4.798731959472009e+22,671241507.3329262,,Jupiter (599)
Ganymede (503),1.4815274543786765e+23,1070521709.1577442,,Jupiter (599)
Callisto (504),1.0756963360612753e+23,1882934720.039315,,Jupiter (599)
Amalthea (505),2.465709932752168e+18,182112760.01150715,,Jupiter (599)
Himalia (506),2.2707613627814843e+18,11430200757.450014,,Jupiter (599)
Elara (507),0.0,11666461886.027163,,Jupiter (599)
Pasiphae (508),0.0,23778547007.12731,,Jupiter (599)
Mimas (601),3.751254199543982e+19,186010427.60603848,,Saturn (699)
Enceladus (602),1.0803732579382821e+20,238413571.04521915,,Saturn (699)
Tethys (603),6.175241027785705e+20,294976913.05795604,,Saturn (699)
Dione (604),1.0955244471030667e+21,377654635.07239664,,Saturn (699)
Rhea (605),2.3065487336253534e+21,527242512.669541,,Saturn (699)
Titan (606),1.3452247155550532e+23,1221933267.8987286,,Saturn (699)
Hyperion (607),5.550102180471136e+18,1479648123.9373875,,Saturn (699)
Iapetus (608),1.8056149240313136e+21,3560833282.736397,,Saturn (699)
Ariel (701),1.250561040888104e+21,190944706.00598466,,Uranus (799)
Umbriel (702),1.2749829331517435e+21,265998212.72813067,,Uranus (799)
Titania (703),3.4003742894020567e+21,436253447.6509255,,Uranus (799)
Oberon (704),3.076430463128435e+21,583522398.7651796,,Uranus (799)
Miranda (705),6.47207839766994e+19,129800527.37331854,,Uranus (799)
Cordelia (706),0.0,50170664.63597919,,Uranus (799)
Ophelia (707),0.0,54282156.29351547,,Uranus (799)
Bianca (708),0.0,59292005.81270306,,Uranus (799)
